Gene	Gene name	Reliability	Enhanced	Supported	Approved	Uncertain	Single-cell variation intensity	Single-cell variation spatial	Cell cycle dependency	GO id
ENSG00000107447	DNTT	Approved			Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000107485	GATA3	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000107518	ATRNL1	Approved			Mitochondria;Nucleus					Mitochondria (GO:0005739);Nucleus (GO:0005634)
ENSG00000107551	RASSF4	Approved			Cell Junctions;Nucleoli;Nucleus					Cell Junctions (GO:0030054);Nucleoli (GO:0005730);Nucleus (GO:0005634)
ENSG00000107554	DNMBP	Approved			Cytosol;Golgi apparatus;Nuclear bodies;Nucleoli		Nuclear bodies;Nucleoli			Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nuclear bodies (GO:0016604);Nucleoli (GO:0005730)
ENSG00000107560	RAB11FIP2	Supported		Vesicles	Nucleoplasm					Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000107566	ERLIN1	Supported		Endoplasmic reticulum						Endoplasmic reticulum (GO:0005783)
ENSG00000107581	EIF3A	Supported		Cytosol	Nucleus		Cytosol			Cytosol (GO:0005829);Nucleus (GO:0005634)
ENSG00000107614	TRDMT1	Approved			Centrosome;Nucleoli;Nucleus					Centrosome (GO:0005813);Nucleoli (GO:0005730);Nucleus (GO:0005634)
ENSG00000107625	DDX50	Enhanced	Nucleoli							Nucleoli (GO:0005730)
ENSG00000107651	SEC23IP	Enhanced	Vesicles							Vesicles (GO:0043231)
ENSG00000107669	ATE1	Supported		Nucleus						Nucleus (GO:0005634)
ENSG00000107672	NSMCE4A	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000107679	PLEKHA1	Enhanced	Nucleus	Cytosol						Cytosol (GO:0005829);Nucleus (GO:0005634)
ENSG00000107738	VSIR	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000107742	SPOCK2	Uncertain				Nuclear speckles	Nuclear speckles			Nuclear speckles (GO:0016607)
ENSG00000107745	MICU1	Supported		Mitochondria						Mitochondria (GO:0005739)
ENSG00000107758	PPP3CB	Approved			Mitochondria					Mitochondria (GO:0005739)
ENSG00000107771	CCSER2	Approved			Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000107779	BMPR1A	Approved			Cytosol					Cytosol (GO:0005829)
ENSG00000107796	ACTA2	Supported		Actin filaments						Actin filaments (GO:0015629)
ENSG00000107798	LIPA	Supported		Vesicles						Vesicles (GO:0043231)
ENSG00000107816	LZTS2	Approved			Cytosol;Plasma membrane		Plasma membrane			Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000107819	SFXN3	Enhanced	Mitochondria							Mitochondria (GO:0005739)
ENSG00000107829	FBXW4	Approved			Golgi apparatus					Golgi apparatus (GO:0005794)
ENSG00000107833	NPM3	Approved			Actin filaments;Cytosol;Nucleoli					Actin filaments (GO:0015629);Cytosol (GO:0005829);Nucleoli (GO:0005730)
ENSG00000107854	TNKS2	Approved			Microtubules					Microtubules (GO:0015630)
ENSG00000107862	GBF1	Supported		Golgi apparatus						Golgi apparatus (GO:0005794)
ENSG00000107863	ARHGAP21	Supported		Cell Junctions;Plasma membrane	Actin filaments					Actin filaments (GO:0015629);Cell Junctions (GO:0030054);Plasma membrane (GO:0005886)
ENSG00000107864	CPEB3	Approved			Intermediate filaments;Nuclear bodies;Nucleoplasm			Intermediate filaments		Intermediate filaments (GO:0045111);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ENSG00000107874	CUEDC2	Enhanced	Cytosol;Nucleoplasm							Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000107882	SUFU	Supported		Nucleus						Nucleus (GO:0005634)
ENSG00000107890	ANKRD26	Approved			Golgi apparatus;Vesicles					Golgi apparatus (GO:0005794);Vesicles (GO:0043231)
ENSG00000107897	ACBD5	Enhanced	Peroxisomes							Peroxisomes (GO:0005777)
ENSG00000107902	LHPP	Supported		Cytosol;Nuclear speckles						Cytosol (GO:0005829);Nuclear speckles (GO:0016607)
ENSG00000107929	LARP4B	Enhanced	Cytosol							Cytosol (GO:0005829)
ENSG00000107937	GTPBP4	Enhanced	Nucleoli		Nuclear membrane		Nuclear membrane;Nucleoli			Nuclear membrane (GO:0031965);Nucleoli (GO:0005730)
ENSG00000107938	EDRF1	Approved			Centrosome;Cytosol;Nucleoplasm					Centrosome (GO:0005813);Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000107949	BCCIP	Supported		Nucleoplasm	Cytosol		Nucleoplasm			Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000107951	MTPAP	Supported		Mitochondria						Mitochondria (GO:0005739)
ENSG00000107959	PITRM1	Supported		Mitochondria						Mitochondria (GO:0005739)
ENSG00000107960	STN1	Supported		Nucleus						Nucleus (GO:0005634)
ENSG00000107968	MAP3K8	Supported		Cytosol						Cytosol (GO:0005829)
ENSG00000108001	EBF3	Approved			Nucleoplasm;Vesicles					Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000108018	SORCS1	Approved			Cytosol;Plasma membrane					Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000108021	FAM208B	Supported		Cytosol;Nucleus						Cytosol (GO:0005829);Nucleus (GO:0005634)
ENSG00000108039	XPNPEP1	Enhanced	Cytosol							Cytosol (GO:0005829)
ENSG00000108055	SMC3	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000108061	SHOC2	Approved		Cytosol	Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000108064	TFAM	Enhanced	Mitochondria							Mitochondria (GO:0005739)
ENSG00000108091	CCDC6	Supported		Cytosol			Cytosol			Cytosol (GO:0005829)
ENSG00000108094	CUL2	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000108106	UBE2S	Approved			Nucleoplasm;Plasma membrane					Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000108107	RPL28	Supported		Cytosol;Endoplasmic reticulum						Cytosol (GO:0005829);Endoplasmic reticulum (GO:0005783)
ENSG00000108175	ZMIZ1	Approved			Nucleoplasm;Vesicles					Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000108179	PPIF	Supported		Mitochondria						Mitochondria (GO:0005739)
ENSG00000108187	PBLD	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000108219	TSPAN14	Supported		Vesicles			Vesicles			Vesicles (GO:0043231)
ENSG00000108239	TBC1D12	Approved			Nuclear speckles;Nucleoplasm					Nuclear speckles (GO:0016607);Nucleoplasm (GO:0005654)
ENSG00000108244	KRT23	Approved			Cytosol;Intermediate filaments					Cytosol (GO:0005829);Intermediate filaments (GO:0045111)
ENSG00000108256	NUFIP2	Supported		Cytosol;Nuclear bodies;Nucleoplasm						Cytosol (GO:0005829);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ENSG00000108262	GIT1	Enhanced	Cytosol;Focal adhesion sites							Cytosol (GO:0005829);Focal adhesion sites (GO:0005925)
ENSG00000108298	RPL19	Supported		Cytosol;Endoplasmic reticulum;Nucleoli						Cytosol (GO:0005829);Endoplasmic reticulum (GO:0005783);Nucleoli (GO:0005730)
ENSG00000108306	FBXL20	Supported			Microtubules					Microtubules (GO:0015630)
ENSG00000108309	RUNDC3A	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000108312	UBTF	Enhanced	Nucleoli fibrillar center							Nucleoli fibrillar center (GO:0001650)
ENSG00000108344	PSMD3	Supported		Cytosol;Nucleoplasm			Nucleoplasm			Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000108349	CASC3	Approved			Nuclear membrane					Nuclear membrane (GO:0031965)
ENSG00000108352	RAPGEFL1	Approved			Cytokinetic bridge;Microtubules;Nucleus		Cytokinetic bridge		Cytokinetic bridge (biological definition)	Cytokinetic bridge (GO:0045171);Microtubules (GO:0015630);Nucleus (GO:0005634)
ENSG00000108370	RGS9	Uncertain				Nucleoplasm				Nucleoplasm (GO:0005654)
ENSG00000108381	ASPA	Uncertain				Cytosol				Cytosol (GO:0005829)
ENSG00000108384	RAD51C	Supported		Cytosol;Mitochondria;Nucleus	Cell Junctions;Vesicles		Cell Junctions;Mitochondria			Cell Junctions (GO:0030054);Cytosol (GO:0005829);Mitochondria (GO:0005739);Nucleus (GO:0005634);Vesicles (GO:0043231)
ENSG00000108387	SEPT4	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000108406	DHX40	Supported		Nucleus						Nucleus (GO:0005634)
ENSG00000108423	TUBD1	Enhanced	Cytosol;Nucleoplasm							Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000108424	KPNB1	Supported		Cytosol;Nuclear membrane;Nucleoplasm			Nuclear membrane			Cytosol (GO:0005829);Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654)
ENSG00000108433	GOSR2	Supported		Golgi apparatus;Nucleoplasm						Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
ENSG00000108439	PNPO	Supported		Cytosol;Nucleoplasm						Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000108443	RPS6KB1	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000108448	TRIM16L	Approved			Cytosol;Plasma membrane					Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000108465	CDK5RAP3	Supported		Cytosol						Cytosol (GO:0005829)
ENSG00000108468	CBX1	Supported		Nuclear bodies;Nucleus						Nuclear bodies (GO:0016604);Nucleus (GO:0005634)
ENSG00000108469	RECQL5	Supported		Cytosol;Nucleus						Cytosol (GO:0005829);Nucleus (GO:0005634)
ENSG00000108474	PIGL	Approved			Cytosol;Nucleoplasm			Cytosol;Nucleoplasm		Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000108479	GALK1	Approved			Cytosol;Golgi apparatus					Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
ENSG00000108509	CAMTA2	Approved			Actin filaments;Mitochondria;Nucleus					Actin filaments (GO:0015629);Mitochondria (GO:0005739);Nucleus (GO:0005634)
ENSG00000108510	MED13	Supported		Nucleus						Nucleus (GO:0005634)
ENSG00000108511	HOXB6	Approved			Golgi apparatus;Nucleus					Golgi apparatus (GO:0005794);Nucleus (GO:0005634)
ENSG00000108515	ENO3	Supported		Cytosol;Plasma membrane			Cytosol;Plasma membrane			Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000108518	PFN1	Supported		Cytosol						Cytosol (GO:0005829)
ENSG00000108523	RNF167	Approved			Cytosol					Cytosol (GO:0005829)
ENSG00000108551	RASD1	Approved			Nucleoplasm;Plasma membrane					Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000108557	RAI1	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000108559	NUP88	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000108561	C1QBP	Approved			Mitochondria;Plasma membrane					Mitochondria (GO:0005739);Plasma membrane (GO:0005886)
ENSG00000108576	SLC6A4	Supported		Golgi apparatus;Vesicles						Golgi apparatus (GO:0005794);Vesicles (GO:0043231)
ENSG00000108578	BLMH	Supported		Cytosol	Nuclear bodies;Nucleoplasm			Nuclear bodies;Nucleoplasm		Cytosol (GO:0005829);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ENSG00000108582	CPD	Approved			Nuclear membrane;Nuclear speckles;Nucleoplasm					Nuclear membrane (GO:0031965);Nuclear speckles (GO:0016607);Nucleoplasm (GO:0005654)
ENSG00000108588	CCDC47	Enhanced	Endoplasmic reticulum							Endoplasmic reticulum (GO:0005783)
ENSG00000108590	MED31	Approved			Nucleus		Nucleus			Nucleus (GO:0005634)
ENSG00000108591	DRG2	Supported		Cytosol	Nucleoplasm;Vesicles			Cytosol;Nucleoplasm;Vesicles		Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000108592	FTSJ3	Enhanced	Nucleoli				Nucleoli			Nucleoli (GO:0005730)
ENSG00000108599	AKAP10	Supported		Cytosol	Plasma membrane		Cytosol;Plasma membrane			Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000108602	ALDH3A1	Enhanced	Cytosol		Plasma membrane;Vesicles		Cytosol;Plasma membrane;Vesicles			Cytosol (GO:0005829);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
ENSG00000108604	SMARCD2	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000108622	ICAM2	Uncertain				Cytosol				Cytosol (GO:0005829)
ENSG00000108639	SYNGR2	Approved			Golgi apparatus					Golgi apparatus (GO:0005794)
ENSG00000108651	UTP6	Enhanced	Nucleoli							Nucleoli (GO:0005730)
ENSG00000108654	DDX5	Enhanced	Nucleoplasm				Nucleoplasm			Nucleoplasm (GO:0005654)
ENSG00000108666	C17orf75	Approved			Cytosol;Golgi apparatus					Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
ENSG00000108669	CYTH1	Uncertain				Nucleoli;Nucleus				Nucleoli (GO:0005730);Nucleus (GO:0005634)
ENSG00000108671	PSMD11	Approved			Golgi apparatus;Nucleus					Golgi apparatus (GO:0005794);Nucleus (GO:0005634)
ENSG00000108691	CCL2	Approved			Golgi apparatus;Vesicles					Golgi apparatus (GO:0005794);Vesicles (GO:0043231)
ENSG00000108771	DHX58	Approved		Cytosol;Golgi apparatus	Nucleoplasm					Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
ENSG00000108774	RAB5C	Enhanced	Endosomes							Endosomes (GO:0005768)
ENSG00000108786	HSD17B1	Supported		Cytosol						Cytosol (GO:0005829)
ENSG00000108788	MLX	Supported		Cytosol;Nuclear membrane;Nucleoplasm						Cytosol (GO:0005829);Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654)
ENSG00000108797	CNTNAP1	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000108799	EZH1	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000108813	DLX4	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000108821	COL1A1	Approved			Cytosol;Vesicles					Cytosol (GO:0005829);Vesicles (GO:0043231)
ENSG00000108825	PTGES3L-AARSD1	Approved			Cytosol;Nuclear membrane					Cytosol (GO:0005829);Nuclear membrane (GO:0031965)
ENSG00000108829	LRRC59	Enhanced	Endoplasmic reticulum							Endoplasmic reticulum (GO:0005783)
ENSG00000108839	ALOX12	Supported		Cytosol	Nuclear speckles					Cytosol (GO:0005829);Nuclear speckles (GO:0016607)
ENSG00000108840	HDAC5	Supported		Cytosol;Nuclear speckles	Golgi apparatus					Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nuclear speckles (GO:0016607)
ENSG00000108846	ABCC3	Approved			Plasma membrane					Plasma membrane (GO:0005886)
ENSG00000108848	LUC7L3	Enhanced	Nuclear speckles							Nuclear speckles (GO:0016607)
ENSG00000108852	MPP2	Approved			Cytosol;Mitochondria		Mitochondria			Cytosol (GO:0005829);Mitochondria (GO:0005739)
ENSG00000108854	SMURF2	Supported		Nuclear speckles						Nuclear speckles (GO:0016607)
ENSG00000108861	DUSP3	Supported		Nucleoplasm	Cytosol					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000108883	EFTUD2	Supported		Nucleoplasm	Cytosol					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000108924	HLF	Enhanced	Nucleus				Nucleus			Nucleus (GO:0005634)
ENSG00000108932	SLC16A6	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000108946	PRKAR1A	Approved			Cytosol					Cytosol (GO:0005829)
ENSG00000108947	EFNB3	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000108953	YWHAE	Uncertain				Cytosol				Cytosol (GO:0005829)
ENSG00000108960	MMD	Approved			Vesicles		Vesicles			Vesicles (GO:0043231)
ENSG00000108961	RANGRF	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000108963	DPH1	Approved		Nucleoplasm		Cell Junctions				Cell Junctions (GO:0030054);Nucleoplasm (GO:0005654)
ENSG00000108984	MAP2K6	Supported		Cytosol;Nucleus						Cytosol (GO:0005829);Nucleus (GO:0005634)
ENSG00000109016	DHRS7B	Approved			Cell Junctions;Cytosol;Plasma membrane					Cell Junctions (GO:0030054);Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000109046	WSB1	Approved			Mitochondria					Mitochondria (GO:0005739)
ENSG00000109062	SLC9A3R1	Approved			Microtubule organizing center;Plasma membrane;Vesicles					Microtubule organizing center (GO:0005815);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
ENSG00000109065	NAT9	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000109066	TMEM104	Approved			Golgi apparatus;Nucleoplasm					Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
ENSG00000109072	VTN	Supported		Endoplasmic reticulum;Vesicles						Endoplasmic reticulum (GO:0005783);Vesicles (GO:0043231)
ENSG00000109079	TNFAIP1	Enhanced	Nucleoli							Nucleoli (GO:0005730)
ENSG00000109083	IFT20	Approved			Microtubules					Microtubules (GO:0015630)
ENSG00000109084	TMEM97	Approved			Cytosol;Nuclear membrane;Plasma membrane					Cytosol (GO:0005829);Nuclear membrane (GO:0031965);Plasma membrane (GO:0005886)
ENSG00000109089	CDR2L	Approved			Cytosol					Cytosol (GO:0005829)
ENSG00000109107	ALDOC	Approved			Cytosol;Nucleoli fibrillar center;Nucleus;Vesicles		Nucleus			Cytosol (GO:0005829);Nucleoli fibrillar center (GO:0001650);Nucleus (GO:0005634);Vesicles (GO:0043231)
ENSG00000109111	SUPT6H	Supported		Cytosol;Nucleoplasm	Plasma membrane					Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000109118	PHF12	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000109132	PHOX2B	Enhanced	Nucleoplasm				Nucleoplasm			Nucleoplasm (GO:0005654)
ENSG00000109171	SLAIN2	Enhanced	Centrosome;Cytosol							Centrosome (GO:0005813);Cytosol (GO:0005829)
ENSG00000109180	OCIAD1	Approved			Mitochondria					Mitochondria (GO:0005739)
ENSG00000109184	DCUN1D4	Supported		Vesicles	Nucleus					Nucleus (GO:0005634);Vesicles (GO:0043231)
ENSG00000109189	USP46	Enhanced	Nucleoli							Nucleoli (GO:0005730)
ENSG00000109193	SULT1E1	Uncertain				Cytosol;Nuclear membrane				Cytosol (GO:0005829);Nuclear membrane (GO:0031965)
ENSG00000109205	ODAM	Supported		Cytosol;Nucleoplasm						Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000109220	CHIC2	Enhanced	Plasma membrane;Vesicles							Plasma membrane (GO:0005886);Vesicles (GO:0043231)
ENSG00000109265	KIAA1211	Approved			Golgi apparatus;Nucleoplasm					Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
ENSG00000109320	NFKB1	Supported		Cytosol;Nucleoplasm						Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000109321	AREG	Approved			Mitochondria		Mitochondria			Mitochondria (GO:0005739)
ENSG00000109323	MANBA	Supported		Vesicles						Vesicles (GO:0043231)
ENSG00000109332	UBE2D3	Approved		Plasma membrane		Cytosol				Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000109381	ELF2	Supported		Nuclear bodies;Nucleoplasm						Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
ENSG00000109390	NDUFC1	Supported		Mitochondria						Mitochondria (GO:0005739)
ENSG00000109436	TBC1D9	Approved			Cytosol;Nucleoplasm					Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000109445	ZNF330	Supported		Nucleoli						Nucleoli (GO:0005730)
ENSG00000109452	INPP4B	Approved			Centrosome					Centrosome (GO:0005813)
ENSG00000109458	GAB1	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000109466	KLHL2	Uncertain			Vesicles	Nucleoplasm				Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000109472	CPE	Approved			Centrosome;Nucleoplasm;Vesicles					Centrosome (GO:0005813);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000109475	RPL34	Supported		Cytosol;Endoplasmic reticulum;Nucleoli						Cytosol (GO:0005829);Endoplasmic reticulum (GO:0005783);Nucleoli (GO:0005730)
ENSG00000109511	ANXA10	Approved			Nucleoli;Nucleus;Vesicles					Nucleoli (GO:0005730);Nucleus (GO:0005634);Vesicles (GO:0043231)
ENSG00000109519	GRPEL1	Supported		Mitochondria						Mitochondria (GO:0005739)
ENSG00000109534	GAR1	Supported		Nucleoli fibrillar center	Nucleus					Nucleoli fibrillar center (GO:0001650);Nucleus (GO:0005634)
ENSG00000109572	CLCN3	Approved			Cytosol					Cytosol (GO:0005829)
ENSG00000109576	AADAT	Approved			Plasma membrane;Vesicles					Plasma membrane (GO:0005886);Vesicles (GO:0043231)
ENSG00000109586	GALNT7	Enhanced	Golgi apparatus			Nucleus				Golgi apparatus (GO:0005794);Nucleus (GO:0005634)
ENSG00000109606	DHX15	Enhanced	Nuclear speckles							Nuclear speckles (GO:0016607)
ENSG00000109618	SEPSECS	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000109654	TRIM2	Approved			Centrosome					Centrosome (GO:0005813)
ENSG00000109670	FBXW7	Supported		Nucleoplasm;Vesicles						Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000109674	NEIL3	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000109680	TBC1D19	Approved			Nuclear membrane;Nucleoplasm					Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654)
ENSG00000109684	CLNK	Uncertain				Vesicles				Vesicles (GO:0043231)
ENSG00000109685	NSD2	Supported		Nucleus						Nucleus (GO:0005634)
ENSG00000109686	SH3D19	Supported		Cytosol;Nucleoplasm						Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000109705	NKX3-2	Approved			Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000109736	MFSD10	Approved			Nuclear membrane;Nucleoplasm		Nuclear membrane;Nucleoplasm			Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654)
ENSG00000109756	RAPGEF2	Supported		Vesicles	Centrosome;Nucleoplasm					Centrosome (GO:0005813);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000109762	SNX25	Supported		Vesicles						Vesicles (GO:0043231)
ENSG00000109775	UFSP2	Approved			Cytosol;Nucleus					Cytosol (GO:0005829);Nucleus (GO:0005634)
ENSG00000109787	KLF3	Enhanced	Nucleoplasm							Nucleoplasm (GO:0005654)
ENSG00000109794	FAM149A	Approved			Golgi apparatus					Golgi apparatus (GO:0005794)
ENSG00000109814	UGDH	Enhanced	Nucleoplasm				Nucleoplasm			Nucleoplasm (GO:0005654)
ENSG00000109819	PPARGC1A	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000109846	CRYAB	Enhanced	Cytosol;Plasma membrane				Cytosol;Plasma membrane			Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000109854	HTATIP2	Supported		Cytosol						Cytosol (GO:0005829)
ENSG00000109861	CTSC	Supported		Vesicles						Vesicles (GO:0043231)
ENSG00000109881	CCDC34	Approved			Nuclear membrane;Nucleoli fibrillar center					Nuclear membrane (GO:0031965);Nucleoli fibrillar center (GO:0001650)
ENSG00000109911	ELP4	Supported		Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000109917	ZPR1	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000109919	MTCH2	Supported		Mitochondria						Mitochondria (GO:0005739)
ENSG00000109920	FNBP4	Enhanced	Nuclear speckles							Nuclear speckles (GO:0016607)
ENSG00000109929	SC5D	Approved			Cytosol;Endoplasmic reticulum;Nucleoplasm;Plasma membrane		Cytosol	Nucleoplasm;Plasma membrane		Cytosol (GO:0005829);Endoplasmic reticulum (GO:0005783);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000109944	C11orf63	Supported		Nucleoplasm	Golgi apparatus					Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
ENSG00000109956	B3GAT1	Supported		Vesicles						Vesicles (GO:0043231)
ENSG00000109971	HSPA8	Approved			Nucleoplasm;Vesicles			Nucleoplasm		Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000110002	VWA5A	Enhanced	Nucleus							Nucleus (GO:0005634)
ENSG00000110025	SNX15	Supported		Cytosol	Nucleoli					Cytosol (GO:0005829);Nucleoli (GO:0005730)
ENSG00000110031	LPXN	Enhanced	Cytosol;Focal adhesion sites	Nuclear speckles				Cytosol		Cytosol (GO:0005829);Focal adhesion sites (GO:0005925);Nuclear speckles (GO:0016607)
ENSG00000110042	DTX4	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000110046	ATG2A	Approved			Cytosol;Nucleus;Vesicles					Cytosol (GO:0005829);Nucleus (GO:0005634);Vesicles (GO:0043231)
ENSG00000110047	EHD1	Supported		Plasma membrane						Plasma membrane (GO:0005886)
ENSG00000110048	OSBP	Enhanced	Cytosol;Golgi apparatus	Nucleus						Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleus (GO:0005634)
ENSG00000110057	UNC93B1	Approved			Nucleoplasm		Nucleoplasm			Nucleoplasm (GO:0005654)
ENSG00000110060	PUS3	Approved			Cytosol;Nucleus					Cytosol (GO:0005829);Nucleus (GO:0005634)
ENSG00000110063	DCPS	Supported		Cytosol;Nucleoplasm						Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000110066	KMT5B	Supported		Nucleus						Nucleus (GO:0005634)
ENSG00000110074	FOXRED1	Supported		Mitochondria						Mitochondria (GO:0005739)
ENSG00000110075	PPP6R3	Enhanced	Cytosol;Nucleoplasm;Plasma membrane							Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000110090	CPT1A	Supported		Mitochondria						Mitochondria (GO:0005739)
ENSG00000110092	CCND1	Supported		Nucleoplasm			Nucleoplasm		N/A (custom data)	Nucleoplasm (GO:0005654)
ENSG00000110104	CCDC86	Enhanced	Nucleoli;Nucleus				Nucleoli;Nucleus			Nucleoli (GO:0005730);Nucleus (GO:0005634)
ENSG00000110107	PRPF19	Enhanced	Nuclear speckles							Nuclear speckles (GO:0016607)
ENSG00000110108	TMEM109	Approved			Cytosol;Nuclear membrane					Cytosol (GO:0005829);Nuclear membrane (GO:0031965)
ENSG00000110171	TRIM3	Approved			Mitochondria					Mitochondria (GO:0005739)
ENSG00000110172	CHORDC1	Supported		Cytosol						Cytosol (GO:0005829)
ENSG00000110195	FOLR1	Approved			Nuclear membrane		Nuclear membrane			Nuclear membrane (GO:0031965)
ENSG00000110200	ANAPC15	Approved			Nucleoplasm;Vesicles					Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ENSG00000110218	PANX1	Enhanced	Plasma membrane							Plasma membrane (GO:0005886)
ENSG00000110237	ARHGEF17	Approved			Cytosol					Cytosol (GO:0005829)
ENSG00000110244	APOA4	Approved			Vesicles					Vesicles (GO:0043231)
ENSG00000110245	APOC3	Approved			Cell Junctions;Nucleoli;Nucleoplasm					Cell Junctions (GO:0030054);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
